Date,Type
12/14/2020,R
12/9/2020,R
12/14/2020,R
9/23/2020,P
12/10/2020,R
12/11/2020,R
12/10/2020,P
12/8/2020,P
11/19/2020,R
11/25/2020,R
12/9/2020,R
12/5/2020,R
12/9/2020,R
12/7/2020,R
8/29/2020,R
12/3/2020,R
12/2/2020,R
12/5/2020,R
12/1/2020,R
8/20/2020,P
12/1/2020,R
11/30/2020,R
11/30/2020,R
11/13/2020,R
11/28/2020,R
11/27/2020,R
11/25/2020,R
11/23/2020,P
11/20/2020,R
11/15/2020,R
11/17/2020,R
11/11/2020,R
11/16/2020,R
11/11/2020,R
11/5/2020,R
11/14/2020,R
11/14/2020,R
11/11/2020,P
11/12/2020,P
11/12/2020,R
11/12/2020,R
11/11/2020,P
11/4/2020,R
11/9/2020,R
11/5/2020,P
11/8/2020,R
11/4/2020,R
11/3/2020,R
11/5/2020,R
11/4/2020,R
10/22/2020,R
10/30/2020,R
10/23/2020,R
10/27/2020,R
10/26/2020,P
10/27/2020,R
10/26/2020,R
10/23/2020,R
10/26/2020,P
10/23/2020,R
10/21/2020,P
10/20/2020,P
10/24/2020,P
10/23/2020,R
10/23/2020,R
10/23/2020,R
10/20/2020,P
10/22/2020,R
10/21/2020,P
8/9/2020,R
10/16/2020,R
10/21/2020,R
10/16/2020,R
10/21/2020,R
10/17/2020,P
10/20/2020,R
10/19/2020,R
10/15/2020,R
10/17/2020,R
10/12/2020,R
10/13/2020,R
10/13/2020,R
10/3/2020,R
10/11/2020,R
10/6/2020,R
10/9/2020,R
10/9/2020,R
10/9/2020,R
10/8/2020,R
10/8/2020,P
10/9/2020,P
8/10/2020,R
10/7/2020,R
10/8/2020,R
10/7/2020,R
10/6/2020,R
10/3/2020,R
10/5/2020,R
10/6/2020,R
10/5/2020,P
10/2/2020,P
10/4/2020,R
9/22/2020,R
9/23/2020,P
10/4/2020,R
10/3/2020,R
10/3/2020,R
4/18/2020,R
9/26/2020,R
10/2/2020,R
10/1/2020,R
9/2/2020,P
10/1/2020,R
9/28/2020,R
9/27/2020,R
9/27/2020,R
8/14/2020,R
9/20/2020,P
9/17/2020,P
9/23/2020,R
9/22/2020,R
8/31/2020,R
9/23/2020,P
9/7/2020,R
9/22/2020,R
9/22/2020,P
9/22/2020,R
12/28/2019,R
9/20/2020,R
9/21/2020,R
9/15/2020,P
9/9/2020,P
9/19/2020,R
9/16/2020,R
9/18/2020,P
9/18/2020,R
9/17/2020,R
9/17/2020,R
9/13/2020,R
9/17/2020,R
9/16/2020,R
9/16/2020,R
9/15/2020,R
9/14/2020,R
9/14/2020,P
8/8/2020,R
9/12/2020,R
9/8/2020,R
9/13/2020,R
9/12/2020,R
9/10/2020,R
9/10/2020,P
9/8/2020,R
9/8/2020,R
9/1/2020,R
9/2/2020,R
9/4/2020,R
9/1/2020,R
9/1/2020,P
8/31/2020,P
8/26/2020,P
8/31/2020,R
8/28/2020,R
8/30/2020,R
8/30/2020,P
8/29/2020,R
8/29/2020,R
8/29/2020,R
8/29/2020,R
8/28/2020,R
8/28/2020,P
8/1/2020,P
8/22/2020,P
8/26/2020,R
8/26/2020,R
8/25/2020,R
12/10/2019,R
8/25/2020,P
8/21/2020,P
8/19/2020,R
8/10/2020,R
5/10/2020,R
8/15/2020,P
8/14/2020,P
7/13/2020,P
8/15/2020,R
8/14/2020,R
2/3/2020,R
8/16/2020,P
8/16/2020,R
8/13/2020,R
8/12/2020,R
8/15/2020,R
7/30/2020,R
8/13/2020,R
7/22/2020,R
8/11/2020,P
8/13/2020,R
8/12/2020,R
8/11/2020,P
8/12/2020,P
8/10/2020,R
8/12/2020,R
8/11/2020,R
8/11/2020,R
8/11/2020,P
8/11/2020,P
7/21/2020,R
8/9/2020,R
8/10/2020,R
8/7/2020,R
7/31/2020,R
8/8/2020,R
7/28/2020,R
8/8/2020,R
7/29/2020,R
8/6/2020,R
2/26/2020,R
7/17/2018,P
8/2/2020,R
7/30/2020,R
8/2/2020,R
7/31/2020,R
7/31/2020,R
7/26/2020,R
7/30/2020,R
7/29/2020,R
7/25/2020,R
7/29/2020,R
7/28/2020,R
7/26/2020,P
7/26/2020,R
7/25/2020,R
7/24/2020,P
7/23/2020,P
7/24/2020,P
7/11/2020,R
6/21/2020,R
7/23/2020,R
7/22/2020,R
6/30/2020,P
7/17/2020,P
7/17/2020,R
7/12/2020,R
7/16/2020,P
7/15/2020,R
7/13/2020,R
7/14/2020,P
7/13/2020,P
7/11/2020,R
7/13/2020,P
7/12/2020,R
7/10/2020,R
7/1/2020,R
7/6/2020,R
7/9/2020,R
6/16/2020,R
7/3/2020,R
7/8/2020,P
7/6/2020,R
7/8/2020,R
6/29/2020,P
7/5/2020,R
7/5/2020,R
7/3/2020,R
7/3/2020,R
6/30/2020,R
6/26/2020,P
6/28/2020,R
6/30/2020,R
6/29/2020,P
6/29/2020,R
6/28/2020,R
6/29/2020,R
6/28/2020,P
6/25/2020,R
6/23/2020,R
6/18/2020,P
6/17/2020,R
6/22/2020,R
6/22/2020,R
6/22/2020,R
5/21/2020,R
6/19/2020,R
6/19/2020,R
6/18/2020,R
6/18/2020,R
7/22/2020,R
6/18/2020,R
6/17/2020,R
6/18/2020,P
6/17/2020,R
6/17/2020,R
6/17/2020,R
6/17/2020,R
6/16/2020,R
12/12/2018,P
6/16/2020,R
9/18/2019,R
6/16/2020,R
3/14/2020,P
6/8/2020,P
6/7/2020,R
6/11/2020,R
6/11/2020,P
5/30/2020,P
6/9/2020,R
3/19/2020,R
6/8/2020,R
5/11/2020,P
6/4/2020,R
6/5/2020,R
4/28/2020,P
6/2/2020,R
6/4/2020,R
6/2/2020,R
5/12/2020,P
5/12/2020,P
6/1/2020,R
5/24/2020,R
6/2/2020,R
6/1/2020,R
5/11/2020,R
5/21/2020,R
5/30/2020,R
5/19/2020,P
8/4/2019,R
5/27/2020,R
5/25/2020,R
5/28/2020,R
5/23/2020,R
5/27/2020,R
5/21/2020,R
5/23/2020,R
5/24/2020,R
4/8/2020,R
1/4/2019,P
5/21/2020,P
5/16/2020,R
5/21/2020,R
5/20/2020,R
5/20/2020,P
5/16/2020,R
5/17/2020,R
4/22/2020,P
5/17/2020,R
5/14/2020,R
5/15/2020,R
5/12/2020,R
5/14/2020,P
4/30/2020,P
2/13/2020,R
5/12/2020,R
5/12/2020,R
5/11/2020,R
3/19/2020,P
3/20/2020,P
5/12/2020,R
4/29/2020,R
4/29/2020,R
5/3/2020,R
9/15/2018,R
5/4/2020,R
4/30/2020,P
4/14/2020,P
5/1/2020,P
5/1/2020,P
4/20/2020,P
4/3/2020,R
4/24/2020,R
3/10/2020,R
4/18/2020,P
4/21/2020,P
4/20/2020,R
4/19/2020,R
4/8/2020,P
